x,y
43.16322099999999,710.1805999999999
41.939448,705.3828
40.78492699999998,700.6071999999999
39.69990400000003,695.8543999999999
38.68462499999998,691.125
37.73933600000001,686.4196
36.864283,681.7388
36.05971199999999,677.0832
35.32586900000004,672.4534000000001
34.66299999999998,667.85
34.07135100000002,663.2736
33.55116800000002,658.7248
33.10269699999998,654.2042
32.72618399999996,649.7124
32.421875,645.25
32.19001600000004,640.8176
32.03085299999998,636.4158
31.944631999999984,632.0452
31.931599000000006,627.7064
31.99199999999999,623.4
32.12608099999997,619.1266
32.33408800000001,614.8868
32.61626699999999,610.6812
32.97286399999999,606.5104
33.40412499999999,602.375
33.91029599999999,598.2755999999999
34.491623000000004,594.2128
35.14835199999999,590.1872000000001
35.880728999999974,586.1994
36.688999999999965,582.25
37.57341100000002,578.3396
38.534208000000035,574.4688
39.57163699999998,570.6382
40.685944000000006,566.8484000000001
41.877375,563.1
43.146176,559.3936000000001
44.492593,555.7298000000001
45.91687200000001,552.1092000000001
47.419258999999954,548.5324
49.0,545.0
49.0,545.0
51.435525,539.841275
54.0614,534.6854
56.876575,529.532825
59.88,524.384
63.070625,519.239375
66.4474,514.0994000000001
70.009275,508.964525
73.7552,503.8352
77.684125,498.711875
81.795,493.595
86.086775,488.485025
90.5584,483.3824
95.20882499999999,478.287575
100.037,473.201
105.04187499999999,468.123125
110.2224,463.0544
115.57752500000001,457.995275
121.1062,452.9462
126.807375,447.907625
132.68,442.88
138.723025,437.86377500000003
144.93540000000002,432.8594
151.316075,427.867325
157.864,422.88800000000003
164.578125,417.921875
171.4574,412.9694
178.50077500000003,408.031025
185.70720000000003,403.1072
193.075625,398.19837500000006
200.605,393.305
208.294275,388.427525
216.14239999999998,383.5664
224.14832500000003,378.722075
232.31100000000004,373.895
240.629375,369.085625
249.10239999999996,364.2944
257.729025,359.521775
266.5082,354.7682
275.438875,350.034125
284.52,345.32
293.750525,340.62627499999996
303.1294,335.9534
312.65557499999994,331.301825
322.32800000000003,326.672
332.14562500000005,322.064375
342.10740000000004,317.47939999999994
352.212275,312.917525
362.45919999999995,308.3792
372.84712499999995,303.864875
383.375,299.375
394.04177500000003,294.910025
404.84639999999996,290.4704
415.787825,286.056575
426.865,281.669
438.07687500000003,277.308125
449.42240000000004,272.9744
460.9005249999999,268.668275
472.51019999999994,264.3902
484.25037499999996,260.140625
496.12,255.92000000000002
508.118025,251.72877500000004
520.2434000000001,247.56739999999996
532.495075,243.436325
544.872,239.33599999999996
557.3731250000001,235.26687499999997
569.9974,231.2294
582.743775,227.22402499999998
595.6112,223.25119999999998
608.5986249999999,219.31137500000006
621.7049999999999,215.40500000000003
634.929275,211.53252500000002
648.2703999999999,207.69439999999997
661.727325,203.891075
675.299,200.123
688.984375,196.390625
702.7824,192.69439999999997
716.6920250000001,189.03477499999997
730.7122,185.41219999999998
744.8418750000001,181.82712500000002
759.08,178.27999999999997
773.4255250000001,174.771275
787.8773999999999,171.3014
802.4345749999999,167.87082500000002
817.096,164.48000000000002
831.8606249999999,161.12937499999998
846.7274,157.81939999999997
861.695275,154.550525
876.7632,151.32319999999999
891.930125,148.13787499999995
907.195,144.995
922.556775,141.89502500000003
938.0144000000001,138.83839999999998
953.5668250000001,135.82557500000001
969.2129999999999,132.85700000000003
984.951875,129.93312500000002
1000.7823999999999,127.05439999999999
1016.7035249999999,124.22127499999999
1032.7142,121.43419999999998
1048.8133750000002,118.693625
1065.0,116.0
1065.0,116.0
1077.220641,114.004364
1089.344328,112.037312
1101.373707,110.098628
1113.311424,108.188096
1125.160125,106.3055
1136.922456,104.450624
1148.601063,102.623252
1160.198592,100.823168
1171.717689,99.050156
1183.161,97.304
1194.531171,95.584484
1205.830848,93.891392
1217.062677,92.224508
1228.229304,90.58361599999999
